track_year,track_id,track_pos,artist_name,track_name,track_writers,track_votes
1953,9.0,10,"Nilla Pizzi,Doppio Quintetto Vocale,Teddy Reno,Quartetto Stars",Papà Pacifico,"N. Rastelli,A. Fragna",2
1953,10.0,NF,"Carla Boni,Katyna Ranieri",Acque amare,"N. Salerno,C. A. Rossi",
1953,11.0,NF,"Carla Boni,Flo Sandon's",Buona sera,"M. Evangelisti Tumminelli,C. Di Ceglie",
1953,12.0,NF,"Nilla Pizzi,Teddy Reno",Canto della solitudine,"E. Bonagura,G. Redi",
1953,13.0,NF,"Katyna Ranieri,Achille Togliani",Domandatelo,"V. Baselice,G. Fiorelli",
1953,14.0,NF,"Gino Latilla,Teddy Reno",Innamorami,"M. Ruccione, E. Ceragioli,U. Bertini",
1953,15.0,NF,"Achille Togliani,Giorgio Consolini",La mamma che piange di più,"G. Pisano,F. Rendine",
1953,16.0,NF,"Achille Togliani,Katyna Ranieri",La pianola stonata,"M. Gigante,E. De Mura",
1953,17.0,NF,"Nilla Pizzi,Flo Sandon's",L'altra,"V. Mascheroni,Biri",
1953,18.0,NF,"Gino Latilla,Giorgio Consolini",Povero amico mio,"M. Rivi,C. Innocenzi",
1953,19.0,NF,"Carla Boni,Flo Sandon's",Qualcuno cammina,"N. Rastelli,N. Casiroli",
1954,,1,"Giorgio Consolini,Gino Latilla",Tutte le mamme,"U. Bertini,E. Falcocchio",92
1954,1.0,2,"Katyna Ranieri,Achille Togliani",Canzone da due soldi,"Pinchi,C. Donida",88
1954,2.0,3,"Gino Latilla,Franco Ricci",...e la barca tornò sola,M. Ruccione,77
1954,3.0,4,"Natalino Otto,Vittoria Mongardi",Notturno (Per chi non ha nessuno),F. S. Mangieri,60
1954,4.0,5,"Flo Sandon's,Carla Boni",Non è mai troppo tardi,D. Olivieri,55
1954,5.0,6,"Quartetto Cetra,Vittoria Mongardi,Duo Fasano",Aveva un bavero,"M. Panzeri,V. Ripa",40
1954,6.0,7,"Gino Latilla,Duo Fasano,Katyna Ranieri,Giorgio Consolini",Sotto l'ombrello,N. Casiroli,25
1954,7.0,8,"Achille Togliani,Natalino Otto",Mogliettina,S. Seracini,12
1954,8.0,9,"Achille Togliani,Flo Sandon's,Natalino Otto",Con te,A. De Curtis,10
1954,9.0,10,"Achille Togliani,Natalino Otto",Donnina sola,"S. Simoni, A. Valleroni,M. Casini",9
1954,10.0,NF,"Vittoria Mongardi,Flo Sandon's",Angeli senza cielo,"Pinchi,E. Valladi",
1954,11.0,NF,"Carla Boni, Gino Latilla,Duo Fasano,Quartetto Cetra",Arriva il direttore,"M. Panzeri,G. Fucilli",
1954,12.0,NF,"Carla Boni,Duo Fasano,Giorgio Consolini",Berta filava,"Pinchi, G. Wilhelm,O. Fiammenghi",
1954,13.0,NF,"Gino Latilla,Duo Fasano,Quartetto Cetra",Canzoni alla sbarra,G. D'Anzi,
1954,14.0,NF,"Carla Boni,Duo Fasano,Quartetto Cetra",Cirillino-Ci,"N. Rastelli,V. Mascheroni",
1954,15.0,NF,"Achille Togliani,Gianni Ravera",Gioia di vivere,C. A. Bixio,
1954,16.0,NF,"Duo Fasano,Gino Latilla,Quartetto Cetra",Piripicchio e Piripicchia,"A. Sopranzi,T. Fusco",
1954,17.0,NF,"Katyna Ranieri,Vittoria Mongardi",Rose (Oggi i tempi son cambiati),"Biri,G. Viezzoli",
1954,18.0,NF,"Carla Boni,Quartetto Cetra",Un diario,"A. Locatelli,F. Bergamini",
1954,19.0,NF,"Gino Latilla,Natalino Otto",Una bambina sei tu,G. Fabor,
1955,,1,"Claudio Villa,Tullio Pane",Buongiorno tristezza,"G. Fiorelli,M. Ruccione",67
1955,1.0,2,"Claudio Villa,Tullio Pane",Il torrente,"C. A. Liman,L. Carmi","38,2"
1955,2.0,3,"Natalino Otto,Trio Aurora,Bruno Pallesi, Nuccia Bongiovanni,Radio Boys",Canto nella valle,"M. Panzeri,U. Fusco","33,6"
1955,3.0,4,"Claudio Villa,Narciso Parigi",Incantatella,E. Bonagura,"27,4"
1955,4.0,5,"Antonio Basurto,Gianni Ravera",Un cuore,"P. Mendes,E. Falcocchio","20,4"
1955,5.0,6,"Jula de Palma,Marisa Colomber",L'ombra,W. Colì,"14,4"
1955,6.0,7,"Narciso Parigi,Radio Boys,Natalino Otto,Trio Aurora",Ci ciu cì (Cantava un usignol),"E. Minoretti,S. Seracini","10,4"
1955,7.0,8,"Natalino Otto,Antonio Basurto",Una fotografia nella cornice,"Lucia Mannucci,E. Fecchi","9,6"
1955,8.0,NF,"Jula de Palma,Antonio Basurto",Cantilena del trainante,"Faccenna,De Angelis",
1955,9.0,NF,"Bruno Pallesi,Jula de Palma",Che fai tu luna in ciel,"N. Rastelli,Brinniti",
1955,10.0,NF,"Clara Jaione,Radio Boys,Nella Colombo, Bruno Rosettani,Trio Aurora",Era un omino,A. Paolillo,
1955,11.0,NF,"Natalino Otto,Nuccia Bongiovanni,Radio Boys",I tre timidi,E. Valladi,
1955,12.0,NF,"Bruno Pallesi,Nuccia Bongiovanni,Bruno Rosettani, Nella Colombo,Trio Aurora",Il primo viaggio,Sargon,
1955,13.0,NF,"Gianni Ravera,Tullio Pane",Non penserò che a te,"Taddei, Poggiali,Minasi",
1955,14.0,NF,"Bruno Pallesi,Jula de Palma",Sentiero,"B. Cherubini,C. Concina",
1955,15.0,NF,"Bruno Rosettani,Trio Aurora,Clara Jaione,Radio Boys",Zucchero e pepe,"Biri, L. Capece Minutolo,V. Mascheroni",
1956,,1,Franca Raimondi,Aprite le finestre,"Pinchi,V. Panzuti",171
1956,1.0,2,Tonina Torrielli,Amami se vuoi,"M. Panzeri,V. Mascheroni",163
1956,2.0,3,Luciana Gonzales,La vita è un paradiso di bugie,"D. Calcagno,N. Oliviero",153
1956,3.0,4,Tonina Torrielli,Il cantico del cielo,"A. Testa,C. A. Rossi",92
1956,4.0,5,Ugo Molinari,La colpa fu,"Gippi, L. Beretta,E. Sciorilli",88
1956,5.0,6,Tonina Torrielli,Il bosco innamorato,"G. C. Testoni,G. Kramer",77
1956,6.0,7,Ugo Molinari,Albero caduto,"G. Fiorelli,M. Ruccione",76
1956,7.0,8,Gianni Marzocchi,Musetto (La più bella sei tu),D. Modugno,41
1956,8.0,9,Ugo Molinari,Nota per nota,G. Viezzoli,24
1956,9.0,10,Ugo Molinari,Due teste sul cuscino,"G. C. Testoni,F. Rendine",20
1956,10.0,NF,"Gianni Marzocchi,Clara Vincenzi",Anima gemella,"G. C. Testoni,C. A. Rossi",
1956,11.0,NF,Luciana Gonzales,È bello,"Danpa,D. Vignali",
1956,12.0,NF,Gianni Marzocchi,Ho detto al sole,"R. Morbelli,Falco",
1956,13.0,NF,Franca Raimondi,Il trenino del destino,"B. Cherubini, M. Schisa,Trama",
1956,14.0,NF,Clara Vincenzi,Il trenino di latta verde,"M. Gigante, L. L. Martelli,Neri",
1956,15.0,NF,"Gianni Marzocchi,Franca Raimondi",Lucia e Tobia,"M. Panzeri,G. D'Anzi",
1956,16.0,NF,Clara Vincenzi,Lui e lei,"S. Simoni, Faccenna,M. Casini",
1956,17.0,NF,Luciana Gonzales,Parole e musica,"N. Rastelli,Silvestri",
1956,18.0,NF,Tonina Torrielli,Qualcosa è rimasto,"Pinchi,Spaggiari",
1956,19.0,NF,"Franca Raimondi,Clara Vincenzi",Sogni d'or,"A. Costanzo,P. Maschio",
1957,,1,"Claudio Villa,Nunzio Gallo",Corde della mia chitarra,"G. Fiorelli,M. Ruccione",63
1957,1.0,2,"Claudio Villa,Giorgio Consolini",Usignolo,"G. Castellani, L. L. Martelli,C. Concina",57
1957,2.0,3,"Gino Latilla,Tonina Torrielli",Scusami,"Biri, W. Malgoni,M. Perrone",43
1957,3.0,4,"Carla Boni, Gino Latilla,Duo Fasano,Gloria Christian,Poker di Voci",Casetta in Canadà,"M. Panzeri,V. Mascheroni",32
1957,4.0,5,"Claudio Villa,Giorgio Consolini",Cancello tra le rose,"U. Bertini,M. De Paolis",30
1957,5.0,6,"Claudio Villa,Gino Latilla,Natalino Otto,Poker di Voci",Il pericolo numero uno,"E. Bonagura,M. Cozzoli",24
1957,6.0,7,"Tina Allori,Tonina Torrielli",Intorno a te (È sempre primavera),"D. Bernazza, M. De Angelis, A. Piga,Falco",16
1957,7.0,8,"Carla Boni,Nunzio Gallo",Per una volta ancora,"U. Bertini,G. D'Anzi",12
1957,8.0,9,"Gino Baldi,Duo Fasano,Natalino Otto,Poker di Voci",Un filo di speranza,"G. C. Testoni,S. Seracini",7
1957,9.0,10,"Carla Boni,Duo Fasano,Gloria Christian, Natalino Otto,Poker di Voci",Le trote blu,"D. Calcagno,L. Gelmini",4
1957,10.0,NF,"Gino Latilla,Luciano Virgili",A poco a poco,"M. Rivi,C. Innocenzi",
1957,11.0,NF,"Tina Allori,Flo Sandon's",Ancora ci credo,"Fecchi,Campanozzi",
1957,12.0,NF,"Fiorella Bini,Flo Sandon's",Estasi,"Da Vinci,Lucci",
1957,13.0,NF,"Gino Baldi,Luciano Virgili",Finalmente,"G. Bonavolontà,M. Rivi",
1957,14.0,NF,"Gino Baldi,Jula de Palma",Nel giardino del mio cuore,"G. C. Testoni,G. Kramer",
1957,15.0,NF,"Gino Latilla,Nunzio Gallo",Non ti ricordi più?,"Da Vinci,Poggiali",
1957,16.0,NF,"Fiorella Bini,Duo Fasano,Jula de Palma,Poker di Voci",Raggio nella nebbia,"Salina,M. Pagano",
1957,17.0,NF,"Gianni Ravera,Natalino Otto",Un certo sorriso,"M. Ruccione,G. Fiorelli",
1957,18.0,NF,"Carla Boni,Jula de Palma",Un sogno di cristallo,"A. Testa,P. Calvi",
1958,,1,"Domenico Modugno,Johnny Dorelli",Nel blu dipinto di blu,"D. Modugno,F. Migliacci",63
1958,1.0,2,"Nilla Pizzi,Tonina Torrielli",L'edera,"V. D'Acquisto,S. Seracini",41
1958,2.0,3,"Gino Latilla,Nilla Pizzi",Amare un'altra,"R. Pazzaglia,G. Fabor",22
1958,3.0,4,"Claudio Villa,Giorgio Consolini",Campana di Santa Lucia,"B. Cherubini,C. Concina",18
1958,4.0,5,"Claudio Villa,Nilla Pizzi",Giuro d'amarti così,"M. Panzeri,V. Mascheroni",17
1958,5.0,6,"Carla Boni,Gino Latilla,Aurelio Fierro,Gloria Christian",Timida serenata,"N. Salerno,G. Redi",15
1958,6.0,7,"Claudio Villa,Duo Fasano,Aurelio Fierro,Trio Joyce",Fragole e cappellini,"M. Panzeri,S. Seracini",13
1958,7.0,8,"Natalino Otto,Carla Boni,Gino Latilla",Non potrai dimenticare,"B. Pallesi,W. Malgoni",8
1958,8.0,9,"Tonina Torrielli,Cristina Jorio",Mille volte,"Zibio,G. Fabor",3
1958,9.0,10,"Johnny Dorelli,Natalino Otto",Fantastica,"A. Costanzo, C. Gori,P. Bentivoglio",1
1958,10.0,NF,"Carla Boni,Giorgio Consolini",Arsura,"B. Cherubini, V. D'Acquisto,M. Schisa",
1958,11.0,NF,"Claudio Villa,Gino Latilla,Gloria Christian",Cos'è un bacio,"V. Rovi,G. Boneschi",
1958,12.0,NF,"Marisa Del Frate,Giorgio Consolini",È molto facile dirsi addio,"L. L. Martelli,E. Neri",
1958,13.0,NF,"Marisa Del Frate,Gloria Christian",Ho disegnato un cuore,"S. Simoni,I. Piga",
1958,14.0,NF,"Duo Fasano,Aurelio Fierro,Trio Joyce",I trulli di Alberobello,"G. Ciocca,U. Bindi",
1958,15.0,NF,"Carla Boni,Cristina Jorio",Io sono te,"A. Testa, R. De Giusti, Biri,C. A. Rossi",
1958,16.0,NF,"Nilla Pizzi,Claudio Villa,Duo Fasano",La canzone che piace a te,"R. Cutolo, M. De Paolis,M. Ruccione",
1958,17.0,NF,"Tonina Torrielli,Duo Fasano,Trio Joyce",Nozze d'oro,"F. Conti, G. Cavalli,E. Canelli",
1958,18.0,NF,"Johnny Dorelli,Giorgio Consolini",Se tornassi tu..!,"E. Radaelli, C. Vinci,A. Barberis",
1958,19.0,NF,"Gino Latilla,Natalino Otto",Tu sei del mio paese,"A. Testa, R. De Giusti, Biri,C. A. Rossi",
1959,,1,"Domenico Modugno,Johnny Dorelli",Piove (ciao ciao bambina),"D. Modugno,D. Verde",57
1959,1.0,2,"Arturo Testa,Gino Latilla",Io sono il vento,"G. C. Testoni,G. Fanciulli",48
1959,2.0,3,"Teddy Reno,Achille Togliani",Conoscerti,G. D'Anzi,27
1959,3.0,4,"Jula de Palma,Tonina Torrielli",Tua,"B. Pallesi,W. Malgoni",18
1959,4.0,5,"Teddy Reno,Aurelio Fierro",Lì per lì,"L. Beretta,G. Viezzoli",14
1959,5.0,6,"Fausto Cigliano,Nilla Pizzi",Sempre con te,R. Murolo,13
1959,6.0,7,"Natalino Otto,Aurelio Fierro",Avevamo la stessa età,"D. Calcagno,M. Marini",12
1959,7.0,8,"Betty Curtis,Wilma De Angelis",Nessuno,"A. De Simone, E. Capotosti,V. Mascheroni",10
1959,8.0,9,"Johnny Dorelli,Betty Curtis,Gino Latilla,Claudio Villa",Una marcia in Fa,"M. Panzeri,V. Mascheroni",9
1959,9.0,10,"Claudio Villa,Betty Curtis",Un bacio sulla bocca,"A. Testa,G. Cichellero",3
1959,10.0,NF,"Tonina Torrielli,Nilla Pizzi",Adorami,"G. C. Testoni,U. Fusco",
1959,11.0,NF,"Anna D'Amico,Natalino Otto",Così così,V. Vancheri,
1959,12.0,NF,"Nilla Pizzi,Tonina Torrielli",Il nostro refrain,"Santi,D. Olivieri",
1959,13.0,NF,"Natalino Otto,Gino Latilla",La luna è un'altra luna,"R. De Giusti, Biri, A. Testa,C. A. Rossi",
1959,14.0,NF,"Jula de Palma,Miranda Martino",La vita mi ha dato solo te,"B. Casalini,M. De Martino",
1959,15.0,NF,"Teddy Reno,Achille Togliani",Ma baciami,"D. Panzuti, A. Godini,P. Rizza",
1959,16.0,NF,"Arturo Testa,Fausto Cigliano",Né stelle né mare,"G. C. Testoni,F. Fabor",
1959,17.0,NF,"Claudio Villa,Johnny Dorelli",Partir con te,P. Calvi,
1959,18.0,NF,"Wilma De Angelis,Jula de Palma",Per tutta la vita,"A. Testa,P. Spotti",
1959,19.0,NF,"Achille Togliani,Arturo Testa",Tu sei qui,"A. Testa,S. Birga",
1960,,1,"Tony Dallara,Renato Rascel",Romantica,"D. Verde,R. Rascel",186
1960,1.0,2,"Domenico Modugno,Teddy Reno",Libero,"D. Modugno,F. Migliacci",84
1960,2.0,3,"Wilma De Angelis,Joe Sentieri",Quando vien la sera,"A. Testa,C. A. Rossi",26
1960,3.0,4,"Nilla Pizzi,Tonina Torrielli",Colpevole,"V. D'Acquisto,S. Seracini",22
1960,4.0,5,"Joe Sentieri,Sergio Bruni",È mezzanotte,"A. Testa, R. Cozzoli,G. Compare",16
1960,5.0,6,"Giorgio Consolini,Sergio Bruni",Il mare,"A. Pugliese,A. Vian",15
1960,6.0,7,"Jula de Palma,Tony Dallara",Noi,"B. Pallesi,W. Malgoni",14
1960,7.0,8,"Teddy Reno,Mina",È vero,"N. Salerno,U. Bindi",9
1960,8.0,9,"Fausto Cigliano,Irene D'Areni",Splende il sole,"Pinchi,Danpa",8
1960,9.0,10,"Johnny Dorelli,Jula de Palma",Notte mia,"M. Zanfagna,M. De Martino",1
1960,10.0,NF,"Flo Sandon's,Gloria Christian",A come amore,"B. Brighetti,B. Martino",
1960,11.0,NF,"Achille Togliani,Giorgio Consolini",Amore abisso dolce,"G. C. Testoni,M. Gigante",
1960,12.0,NF,"Johnny Dorelli,Betty Curtis",Amore senza sole,"M. Panzeri,V. Mascheroni",
1960,13.0,NF,"Germana Caroli,Arturo Testa",Gridare di gioia,"A. Testa,G. Fanciulli",
1960,14.0,NF,"Gino Latilla,Miranda Martino",Invoco te,"G. C. Testoni, T. De Vita,G. Masetti",
1960,15.0,NF,"Mina,Betty Curtis",Non sei felice,"R. Vantellini,Pinchi",
1960,16.0,NF,"Tonina Torrielli,Arturo Testa",Perderti,"Pinchi,P. E. Bassi",
1960,17.0,NF,"Achille Togliani,Nilla Pizzi",Perdoniamoci,"U. Bertini,E. Di Paola",
1960,18.0,NF,"Wilma De Angelis,Gloria Christian",Splende l'arcobaleno,"M. Tumminelli,C. Di Ceglie",
1960,19.0,NF,"Gino Latilla,Miranda Martino",Vento pioggia... scarpe rotte,"E. Taranto, C. Gori,A. Grasso",
1961,,1,"Betty Curtis,Luciano Tajoli",Al di là,Mogol - Donida,708.104
1961,1.0,2,"Adriano Celentano,Little Tony",24mila baci,"P. Vivarelli, L. Fulci,A. Celentano",679.175
1961,2.0,3,"Milva,Gino Latilla",Il mare nel cassetto,Rolla - La Valle - Lattuada,648.776
1961,3.0,4,"Mina,Nelly Fioramonti",Io amo tu ami,E. Bonagura - G. Redi,178.593
1961,4.0,5,"Mina,Jenny Luna",Le mille bolle blu,"V. Pallavicini,C. A. Rossi",175.863
1961,5.0,6,"Pino Donaggio,Teddy Reno",Come sinfonia,P. Donaggio,127.679
1961,6.0,7,"Arturo Testa,Tonina Torrielli",Febbre di musica,"Biri,V. Mascheroni",100.217
1961,7.0,8,"Teddy Reno,Sergio Bruni",Mandolino mandolino,"A. Vian,A. Pugliese",75.218
1961,8.0,9,"Sergio Bruni,Rocco Granata",Carolina dai,"D. Pace,M. Panzeri",68.907
1961,9.0,10,"Gino Paoli,Tony Dallara",Un uomo vivo,G. Paoli,65.499
1961,10.0,11,"Umberto Bindi,Miranda Martino",Non mi dire chi sei,G. Calabrese - U. Bindi,37.487
1961,11.0,12,"Joe Sentieri,Fausto Cigliano",Lei,R. Pazzaglia - J. Sentieri,15.230
1961,12.0,NF,"Bruno Martino,Jula de Palma",A.A.A. adorabile cercasi,"B. Martino, B. Brighetti,V. Pallavicini",
1961,13.0,NF,"Giorgio Gaber,Maria Monti",Benzina e cerini,"G. Gaber, E. Jannacci[7]",
1961,14.0,NF,"Luciano Rondinella,Edoardo Vianello",Che freddo!,"C. Rossi,E. Vianello",
1961,15.0,NF,"Miranda Martino,Jimmy Fontana",Lady Luna,"D. Verde,A. Trovajoli",
1961,16.0,NF,"Joe Sentieri,Betty Curtis",Libellule,"A. Testa,G. Viezzoli",
1961,17.0,NF,"Claudio Villa,Sergio Renda",Mare di dicembre,"L. Beretta,G. Libano",
1961,18.0,NF,"Aura D'Angelo,Silvia Guidi",Notturno senza luna,G. D'Anzi,
1961,19.0,NF,"Gianni Meccia,Wilma De Angelis",Patatina,"G. Meccia,F. Migliacci",
1961,20.0,NF,"Tony Renis,Niki Davis",Pozzanghere,"Orfellius, L. Pellini, T. Renis,M. Treppiedi",
1961,21.0,NF,"Cocky Mazzetti,Achille Togliani",Qualcuno mi ama,"P. Soffici,M. Darena",
1961,22.0,NF,"Carla Boni,Aurelio Fierro",Tu con me,"A. Amurri,E. Ballotta",
1961,23.0,NF,"Nadia Liani,Jolanda Rossin",Una goccia di cielo,G. Negri,
1962,,1,"Domenico Modugno,Claudio Villa",Addio...addio...,"F. Migliacci,D. Modugno",1.496.411
1962,1.0,2,"Sergio Bruni,Milva",Tango italiano,"B. Pallesi,W. Malgoni",1.255.805
1962,2.0,3,"Sergio Bruni,Ernesto Bonino",Gondolì gondolà,"Nisa,R. Carosone",295.049
1962,3.0,4,"Tony Renis,Emilio Pericoli",Quando quando quando,"A. Testa,T. Renis",224.686
1962,4.0,5,"Milva,Miriam Del Mare",Stanotte al luna park,"V. Pallavicini, Biri,C. A. Rossi",208.573
1962,5.0,6,"Gino Bramieri,Aurelio Fierro",Lui andava a cavallo,"N. Salerno,N. Ravasini",194.990
1962,6.0,7,"Arturo Testa,Jolanda Rossin",Un'anima leggera,"P. Rolla,F. Bergamini",143.354
1962,7.0,8,"Joe Sentieri,Aurelio Fierro",Cipria di sole,"G. Marotta,S. Mazzocco",118.826
1962,8.0,9,"Tonina Torrielli,Nelly Fioramonti",Aspettandoti,"S. Seracini,V. D'Acquisto",111.785
1962,9.0,10,"Johnny Dorelli,Betty Curtis",Buongiorno amore,"M. Panzeri,J. Dorelli",91.750
1962,10.0,11,"Flo Sandon's,Mario D'Alba",Passa il tempo,"S. Taccani,U. Bertini",80.848
1962,11.0,12,"Nunzio Gallo,Rocco Montana",Inventiamo la vita,"V. Mascheroni,G. C. Testoni",72.964
1962,12.0,NF,"Arturo Testa,Jolanda Rossin",Centomila volte,"S. Censi,De Bernardi",
1962,13.0,NF,"Silvia Guidi,Jenny Luna",Conta le stelle,"E. Di Paola,U. Bertini",
1962,14.0,NF,"Fausto Cigliano,Jenny Luna",Cose inutili,"G. Meccia,U. Tognazzi",
1962,15.0,NF,"Rossana,Gian Costello",Due cipressi,"P. Pizzigoni, A. Camis,G. C. Testoni",
1962,16.0,NF,"Wanda Romanelli,Nelly Fioramonti",Fiori sull'acqua,"G. Fallabrino,V. D'Acquisto",
1962,17.0,NF,"Wilma De Angelis,Tanya",I colori della felicità,"L. Ranzato,E. Sciorilli",
1962,18.0,NF,"Luciano Tajoli,Betty Curtis",Il cielo cammina,"M. Ruccione, U. Bertini,P. Tombolato",
1962,19.0,NF,"Gesy Sebena,Giacomo Rondinella",Il nostro amore,"Pinchi,V. Panzuti",
1962,20.0,NF,"Gene Colonnello,Gloria Christian",Innamorati,"G. D'Anzi,M. Panzeri",
1962,21.0,NF,"Corrado Lojacono,Luciano Tajoli",L'anellino,"C. Lojacono,N. Salerno",
1962,22.0,NF,"Johnny Dorelli,Gloria Christian",L'ombrellone,"P. Calvi,L. Chiosso",
1962,23.0,NF,"Nunzio Gallo,Bruna Lelli",L'ultimo pezzo di terra,"M. Zanfagna, G. Conte, N. Gallo,A. Forte",
1962,24.0,NF,"Wilma De Angelis,Lucia Altieri",Lumicini rossi,"F. Fabor,G. C. Testoni",
1962,25.0,NF,"Pierfilippi,Cocky Mazzetti",Occhi senza lacrime,"E. Macchi,A. A. Roelens",
1962,26.0,NF,"Gino Bramieri,Rocco Torrebruno",Pesca tu che pesco anch'io,"Di Lazzaro,B. Cherubini",
1962,27.0,NF,"Flo Sandon's,Edda Montanari",Prima del paradiso,"R. Vantellini,Pinchi",
1962,28.0,NF,"Aura D'Angelo,Claudio Villa",Quando il vento d'aprile,"S. Palomba,A. Vian",
1962,29.0,NF,"Cocky Mazzetti,Joe Sentieri",Tobia,"C. Donida, Mogol,A. Testa",
1962,30.0,NF,"Mario Abbate,Fausto Cigliano",Vestita di rosso,"A. Testa, R. Cozzoli,G. Compare",
1962,31.0,NF,"Narciso Parigi,Giorgio Consolini",Vita,"B. Cherubini,C. Concina",
1963,,1,"Tony Renis,Emilio Pericoli",Uno per tutte,"Mogol, A. Testa,T. Renis",90
1963,1.0,2,"Claudio Villa,Eugenia Foligatti",Amor mon amour my love,"W. Malgoni, Pinchi,B. Pallesi",77
